   1  AGRL   4
  33.50   0.45    3.00   0.15   0.05   0.50   0.95   0.64    1.00   2.00
  30.00   11.00   0.0199   0.0032   0.0440   0.0164   0.0128   0.0060   0.0022   0.0018
  0.250   0.2000   0.0050   4.00   0.750    8.50    660.00    36.00   0.0500   0.000
  0.000     0    0.00   0.650   0.100
   2  AGRR   4
  39.00   0.50    3.00   0.15   0.05   0.50   0.95   0.70    2.50   2.00
  25.00    8.00   0.0140   0.0016   0.0470   0.0177   0.0138   0.0048   0.0018   0.0014
  0.300   0.2000   0.0070   4.00   0.750    7.20    660.00    45.00   0.0500   0.000
  0.000     0    0.00   0.650   0.100
   3  AGRC   5
  30.00   0.40    4.00   0.05   0.05   0.45   0.95   0.50    0.90   1.30
  18.00    0.00   0.0250   0.0022   0.0663   0.0255   0.0148   0.0053   0.0020   0.0012
  0.200   0.0300   0.0060   4.00   0.750    6.00    660.00    39.00   0.0500   0.000
  0.000     0    0.00   0.650   0.100
   4  ORCD   7
  15.00   0.10    4.00   0.10   0.15   0.50   0.75   0.99    3.50   2.00
  20.00    7.00   0.0019   0.0004   0.0060   0.0020   0.0015   0.0007   0.0004   0.0003
  0.050   0.0010   0.0070   4.00   0.750    3.00    660.00    20.00   0.0500   0.750
  0.300     0    0.00   0.650   0.100
   5   HAY   6
  35.00   0.90    4.00   0.05   0.05   0.49   0.95   0.99    0.50   2.00
  25.00   12.00   0.0234   0.0033   0.0600   0.0231   0.0134   0.0084   0.0032   0.0019
  0.900   0.0030   0.0050   4.00   0.750   10.00    660.00    36.00   0.0500   0.000
  0.000     0    0.00   0.650   0.100
   6  FRST   7
  15.00   0.76    5.00   0.05   0.05   0.40   0.95   0.99    6.00   3.50
  30.00   10.00   0.0015   0.0003   0.0060   0.0020   0.0015   0.0007   0.0004   0.0003
  0.010   0.0010   0.0020   4.00   0.750    8.00    660.00    16.00   0.0500   0.750
  0.300    50  1000.00   0.650   0.100
   7  FRSD   7
  15.00   0.76    5.00   0.05   0.05   0.40   0.95   0.99    6.00   3.50
  30.00   10.00   0.0015   0.0003   0.0060   0.0020   0.0015   0.0007   0.0004   0.0003
  0.010   0.0010   0.0020   4.00   0.750    8.00    660.00    16.00   0.0500   0.750
  0.300    10  1000.00   0.650   0.100
   8  FRSE   7
  15.00   0.76    5.00   0.15   0.70   0.25   0.99   0.99   10.00   3.50
  30.00    0.00   0.0015   0.0003   0.0060   0.0020   0.0015   0.0007   0.0004   0.0003
  0.600   0.0010   0.0020   4.00   0.750    8.00    660.00    16.00   0.0500   0.750
  0.300    30  1000.00   0.650   0.100
   9  WETL   6
  47.00   0.90    6.00   0.10   0.20   0.20   0.95   0.70    2.50   2.20
  25.00   12.00   0.0160   0.0022   0.0350   0.0150   0.0038   0.0014   0.0010   0.0007
  0.900   0.0030   0.0050   4.00   0.750    8.50    660.00    54.00   0.0500   0.000
  0.000     0    0.00   0.650   0.100
  10  WETF   7
  15.00   0.76    5.00   0.05   0.05   0.40   0.95   0.99    6.00   3.50
  30.00   10.00   0.0015   0.0003   0.0060   0.0020   0.0015   0.0007   0.0004   0.0003
  0.010   0.0010   0.0020   4.00   0.750    8.00    660.00    16.00   0.0500   0.000
  0.000    30  1000.00   0.650   0.100
  11  WETN   6
  47.00   0.90    6.00   0.10   0.20   0.20   0.95   0.70    2.50   2.20
  25.00   12.00   0.0160   0.0022   0.0350   0.0150   0.0038   0.0014   0.0010   0.0007
  0.900   0.0030   0.0050   4.00   0.750    8.50    660.00    54.00   0.0500   0.000
  0.000     0    0.00   0.650   0.100
  12  PAST   6
  35.00   0.90    4.00   0.05   0.05   0.49   0.95   0.99    0.50   2.00
  25.00   12.00   0.0234   0.0033   0.0600   0.0231   0.0134   0.0084   0.0032   0.0019
  0.900   0.0030   0.0050   4.00   0.750   10.00    660.00    36.00   0.0500   0.000
  0.000     0    0.00   0.650   0.100
  13  SPAS   6
  35.00   0.90    4.00   0.05   0.05   0.49   0.95   0.99    0.50   2.00
  25.00   12.00   0.0234   0.0033   0.0600   0.0231   0.0134   0.0084   0.0032   0.0019
  0.900   0.0030   0.0050   4.00   0.750   10.00    660.00    36.00   0.0500   0.000
  0.000     0    0.00   0.650   0.100
  14  WPAS   6
  30.00   0.90    4.00   0.15   0.01   0.50   0.95   0.80    1.50   2.00
  15.00    0.00   0.0234   0.0033   0.0560   0.0210   0.0120   0.0099   0.0022   0.0019
  0.900   0.0030   0.0050   4.00   0.750    8.00    660.00    39.00   0.0500   0.000
  0.000     0    0.00   0.650   0.100
  15  RNGE   6
  34.00   0.90    2.50   0.05   0.10   0.25   0.70   0.35    1.00   2.00
  25.00   12.00   0.0160   0.0022   0.0200   0.0120   0.0050   0.0014   0.0010   0.0007
  0.900   0.0030   0.0050   4.00   0.750   10.00    660.00    39.00   0.0500   0.000
  0.000     0    0.00   0.330   0.100
  16  RNGB   6
  34.00   0.90    2.00   0.05   0.10   0.25   0.70   0.35    1.00   2.00
  25.00   12.00   0.0160   0.0022   0.0200   0.0120   0.0050   0.0014   0.0010   0.0007
  0.900   0.0030   0.0050   4.00   0.750   10.00    660.00    39.00   0.0500   0.000
  0.000     0    0.00   0.330   0.100
  17  SWRN   6
  34.00   0.90    1.50   0.05   0.10   0.25   0.70   0.35    1.00   2.00
  25.00   12.00   0.0160   0.0022   0.0200   0.0120   0.0050   0.0014   0.0010   0.0007
  0.900   0.0030   0.0050   4.00   0.750   10.00    660.00    39.00   0.0500   0.000
  0.000     0    0.00   0.330   0.100
  18  WATR   6
   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.00    0.00   0.00
   0.00    0.00   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000
  0.000   0.0000   0.0000   0.00   0.000    0.00      0.00     0.00   0.0000   0.000
  0.000     0    0.00   0.000   0.100
  19  CORN   4
  39.00   0.50    6.00   0.15   0.05   0.50   0.95   0.70    2.50   2.00
  25.00    8.00   0.0140   0.0016   0.0470   0.0177   0.0138   0.0048   0.0018   0.0014
  0.300   0.2000   0.0070   4.00   0.750    7.20    660.00    45.00   0.0500   0.000
  0.000     0    0.00   0.650   0.100
  20  CSIL   4
  39.00   0.90    4.00   0.15   0.05   0.50   0.95   0.70    2.50   2.00
  25.00    8.00   0.0140   0.0016   0.0470   0.0177   0.0138   0.0048   0.0018   0.0014
  0.900   0.2000   0.0070   4.00   0.750    7.20    660.00    45.00   0.0500   0.000
  0.000     0    0.00   0.650   0.100
